company_name,full_address ,city,state,zip_code,contact_phone,website_url
Bayside Sports Academy,"4400 34th St N suite e, St. Petersburg, FL 33714, USA",St. Petersburg,FL,33714,(727) 258-4981,http://www.baysidesportsacademy.org/
Black Diamond Camp,"19830 SE 328th Pl, Auburn, WA 98092, USA",Auburn,WA,98092,(253) 939-0488,https://blackdiamond.org/
Blue Dolphin Summer Camp,"74-15 175th St, Fresh Meadows, NY 11366, USA",Fresh Meadows,NY,11366,(718) 847-6470,http://www.bluedolphincamp.com/
Bob Gilbertson Central City Family YMCA,"110 E Palm Ave, Tampa, FL 33602, USA",Tampa,FL,33602,(813) 229-9622,http://www.tampaymca.org/
Bonjour Language Camps – Spanish and French day camp (UWS),"SUMMER ADDRESS ONLY, 270 W 89th St, New York, NY 10024, USA",New York,NY,10024,(646) 974-9220,http://bonjourny.com/
Brain Camp @ UCSF,"505 Parnassus Ave, San Francisco, CA 94143, USA",San Francisco,CA,94143,(415) 335-4840,https://ilovebraincamp.org/about-us
BrainVyne LEGO & Money Camps,"4000 Middlefield Rd D5, Palo Alto, CA 94303, USA",Palo Alto,CA,94303,(650) 469-3409,http://www.brainvyne.com/
Cadence Academy Preschool,"13255 Noel Rd, Dallas, TX 75240, USA",Dallas,TX,75240,(972) 996-0677,https://www.cadence-education.com/locations/tx/dallas/305?utm_source=google&utm_medium=local_listing&utm_campaign=local_seo
Cadence Academy Preschool of Bent Tree,"17275 Addison Rd, Addison, TX 75001, USA",Addison,TX,75001,(972) 559-3899,https://www.cadence-education.com/locations/tx/addison/311?utm_source=google&utm_medium=local_listing&utm_campaign=local_seo
Caedmon Discovery Camp,"416 E 80th St, New York, NY 10075, USA",New York,NY,10075,(212) 879-2297,https://www.caedmonschool.org/beyond-the-classroom/discovery-camp/caedmon-discovery-camp
Camp 512,"127 Star St, Lakeway, TX 78734, USA",Lakeway,TX,78734,(512) 680-6721,https://www.camp512.com/
Camp at Sunset Bay,"14725 Norma Beach Rd, Edmonds, WA 98026, USA",Edmonds,WA,98026,(206) 324-6715,http://www.sunsetbaywharf.com/
Camp Balcones Springs,"104 Balcones Springs Dr, Marble Falls, TX 78654, USA",Marble Falls,TX,78654,(830) 693-2267,https://campiscool.com/?utm_source=GMB&utm_medium=Direct
Camp Broadway,"500 8th Ave, New York, NY 10018, USA",New York,NY,10018,(212) 575-2929,http://www.campbroadway.com/
Camp Burton,"9326 SW Bayview Dr, Vashon, WA 98070, USA",Vashon,WA,98070,(206) 463-2512,http://www.campburton.com/
Camp Champions,"775 Camp Rd, Marble Falls, TX 78654, USA",Marble Falls,TX,78654,(830) 598-2571,http://www.campchampions.com/
Camp Chrysalis,"2434 McKinley Ave, Berkeley, CA 94703, USA",Berkeley,CA,94703,(510) 843-6157,http://www.campchrysalis.com/
Camp Courage Colorado,"2525 Ash St., Denver, CO 80207, USA",Denver,CO,80207,(720) 226-1286,http://camp-courage.org/
Camp Cubber,"1551 Belcher Rd, Palm Harbor, FL 34683, USA",Palm Harbor,FL,34683,(727) 781-6343,https://www.cubber.org/
Camp Don Bosco,"1401 327th Ave NE, Carnation, WA 98014, USA",Carnation,WA,98014,(425) 333-6135,http://cyo.camp/
Camp Doodles,"French American International School, 150 Oak St, San Francisco, CA 94102, USA",San Francisco,CA,94102,(415) 388-4386,https://www.campdoodles.com/
Camp Doodles,"1155 Page St, San Francisco, CA 94117, USA",San Francisco,CA,94117,(415) 388-4386,https://campdoodles.com/locations/san-francisco/
Camp Doublecreek,"3311 Kelly Ln, Pflugerville, TX 78660, USA",Pflugerville,TX,78660,(512) 255-3661,http://www.campdoublecreek.com/
Camp Dovewood,"23221 101st Rd, O'Brien, FL 32071, USA",O'Brien,FL,32071,(386) 209-1908,https://www.campdovewood.org/
Camp Emunah,"828 Eastern Pkwy, Brooklyn, NY 11213, USA",Brooklyn,NY,11213,(718) 735-0225,http://campemunah.com/
Camp Experts,"175 E 79th St, New York, NY 10075, USA",New York,NY,10075,(212) 579-1873,https://www.campexperts.com/
Camp Fire Central Puget Sound,"2414 SW Andover St D-105, Seattle, WA 98106, USA",Seattle,WA,98106,(206) 461-8550,http://www.campfireseattle.org/
Camp Galileo,"655 Brotherhood Way, San Francisco, CA 94132, USA",San Francisco,CA,94132,(800) 854-3684,https://galileo-camps.com/our-camps/locations/san-francisco-twin-peaks/
Camp Galileo Burlingame,"2385 Trousdale Dr, Burlingame, CA 94010, USA",Burlingame,CA,94010,(800) 854-3684,https://galileo-camps.com/our-camps/locations/burlingame/?utm_medium=local-listing&utm_source=google&utm_campaign=gmb
Camp Galileo Denver - Park Hill/Central Park,"6550 E 21st Ave, Denver, CO 80207, USA",Denver,CO,80207,(800) 854-3684,https://galileo-camps.com/our-camps/locations/denver-summer-camp-park-hill-central-park/?utm_medium=local-listing&utm_source=google&utm_campaign=gmb
Camp Galileo Denver - Platt Park,"1221 E Eastman Ave, Englewood, CO 80113, USA",Englewood,CO,80113,(800) 854-3684,https://galileo-camps.com/our-camps/locations/denver-platt-park/?utm_medium=local-listing&utm_source=google&utm_campaign=gmb
Camp Galileo San Francisco - North,"735 Fell St, San Francisco, CA 94117, USA",San Francisco,CA,94117,(800) 854-3684,https://galileo-camps.com/our-camps/locations/san-francisco-north-cg-san-francisco-schoolhouse/?utm_medium=local-listing&utm_source=google&utm_campaign=gmb
Camp Galileo San Francisco - Sunset,"1530 43rd Ave, San Francisco, CA 94122, USA",San Francisco,CA,94122,(800) 854-3684,https://galileo-camps.com/our-camps/locations?utm_medium=local-listing&utm_source=google&utm_campaign=gmb
Camp Galileo San Francisco - Twin Peaks/Noe Valley,"625 Douglass St, San Francisco, CA 94114, USA",San Francisco,CA,94114,(800) 854-3684,https://galileo-camps.com/our-camps/locations/san-francisco-twin-peaks/?utm_medium=local-listing&utm_source=google&utm_campaign=gmb
Camp Galileo Seattle - Madison Valley,"3400 E Harrison St, Seattle, WA 98112, USA",Seattle,WA,98112,(800) 854-3684,https://galileo-camps.com/our-camps/locations/the-bush-school-seattle/?utm_medium=local-listing&utm_source=google&utm_campaign=gmb
Camp Gallagher,"1304 Russell Rd SW, Home, WA 98349, USA",Home,WA,98349,(888) 658-2230,https://www.campgallagher.org/
Camp Gilead,"30919 NE Carnation Farm Rd, Carnation, WA 98014, USA",Carnation,WA,98014,(425) 333-4311,https://www.campgilead.org/
Camp Gnarly NYC,"760 Sterling Pl, Brooklyn, NY 11216, USA",Brooklyn,NY,11216,(718) 866-7371,http://www.campgnarlynyc.com/
Camp Granite Lake,"11902 Camp Eden Rd, Golden, CO 80403, USA",Golden,CO,80403,(720) 249-2997,https://campgranitelake.com/
Camp Half-Blood Austin,"5214 Burleson Rd Suite 204, Austin, TX 78744, USA",Austin,TX,78744,(512) 222-3053,https://www.camphalfbloodaustin.org/
Camp Hillard - New York Summer Camp,"26 Elizabeth St, Scarsdale, NY 10583, USA",Scarsdale,NY,10583,(914) 949-8857,http://www.camphillard.com/
Camp Ida Smith,"1100 Lake Merced Blvd, San Francisco, CA 94132, USA",San Francisco,CA,94132,(800) 447-4475,https://www.idasmithdaycamp.org/
"Camp Idlewild of Florida, Inc.","7602 Henry Dr, Land O' Lakes, FL 34638, USA",Land O' Lakes,FL,34638,(813) 996-1226,http://campidlewildofflorida.com/
"Camp Integem: Holographic AR Coding, STEM, AI, Art & Design Summer Camp at San Francisco","1920 41st Ave, San Francisco, CA 94116, USA",San Francisco,CA,94116,(408) 459-0657,https://camp.integem.com/
Camp Keff | PJCC,"800 Foster City Blvd, Foster City, CA 94404, USA",Foster City,CA,94404,(650) 378-2704,http://www.campkeff.org/
Camp Kind,"4505 W 112th Ave, Westminster, CO 80031, USA",Westminster,CO,80031,(720) 608-6099,http://www.campkind.org/
Camp Lakota Sleepaway & Summer Camp Upstate NY,"56 Park Rd, Wurtsboro, NY 12790, USA",Wurtsboro,NY,12790,(845) 888-5611,http://camplakota.com/
Camp Long,"5200 35th Ave SW Dawson, Seattle, WA 98126, USA",Seattle,WA,98126,(206) 684-7434,https://www.seattle.gov/parks/find/parks/camp-long
Camp Maritime,"311 Sea Breeze Ave, Brooklyn, NY 11224, USA",Brooklyn,NY,11224,(833) 799-4999,https://www.campmaritime.com/
Camp McCullough,"20665 SE 264th St, Covington, WA 98042, USA",Covington,WA,98042,(425) 432-9470,https://www.campmccullough.us/
Camp Mirage Brandon,"2913 John Moore Rd, Brandon, FL 33511, USA",Brandon,FL,33511,(813) 825-2234,https://campmiragebrandon.com/
Camp Naru,"2 Wooster St Second Floor, New York, NY 10013, USA",New York,NY,10013,(646) 389-1793,http://www.campnaru.org/
Camp No Counselors,"135 W 50th St Suite 200, New York, NY 10020, USA",New York,NY,10020,(570) 647-4242,https://www.campnocounselors.com/
Camp Nor'wester,"Camp Nor'wester @ Spaces, 450 Alaskan Way S Ste. 200 98104, Seattle, WA 98104, USA",Seattle,WA,98104,(425) 670-1935,http://norwester.org/
Camp Nor'wester,"101 Evergreen Drive, Friday Harbor, WA 98250, USA",Friday Harbor,WA,98250,(425) 670-1935,https://norwester.org/
Camp Olympia,"723 Olympia Dr, Trinity, TX 75862, USA",Trinity,TX,75862,(936) 594-2541,https://www.campolympia.com/
Camp Osprey,"18050 US-301, Wimauma, FL 33598, USA",Wimauma,FL,33598,(941) 928-6860,http://www.camposprey.com/
Camp Ramaquois,"30 Mountain Rd, Pomona, NY 10970, USA",Pomona,NY,10970,(845) 354-1600,https://www.campramaquois.com/?utm_source=gmb&utm_medium=organic&utm_campaign=gmb-listing
Camp Sealth,"14500 SW Camp Sealth Rd, Vashon, WA 98070, USA",Vashon,WA,98070,(206) 463-3174,http://campfireseattle.org/
"Camp Skylark, Dallas","3877 Walnut Hill Ln, Dallas, TX 75229, USA",Dallas,TX,75229,(214) 531-3203,https://www.campskylark.com/locations/dallas
"Camp Skylark, Plano","6400 K Ave, Plano, TX 75074, USA",Plano,TX,75074,(214) 531-3203,https://www.campskylark.com/locations/plano
Camp Solomon Schechter,"117 E Louisa St UNIT 110, Seattle, WA 98102, USA",Seattle,WA,98102,(206) 447-1967,https://www.campschechter.org/
Camp Sonshine Florida,"1550 Belcher Rd, Largo, FL 33771, USA",Largo,FL,33771,(727) 210-5433,https://campsonshinefl.com/
Camp Summer Quest,"2001 62nd Ave S, St. Petersburg, FL 33712, USA",St. Petersburg,FL,33712,(727) 504-3149,http://campsummerquest.org/
CAMP Tampa,"3012 W Palmira Ave, Tampa, FL 33629, USA",Tampa,FL,33629,(813) 999-1900,http://www.welovecamp.com/
Camp Tawonga,"131 Steuart St #460, San Francisco, CA 94105, USA",San Francisco,CA,94105,(415) 543-2267,http://www.tawonga.org/
Camp Telaphiba,"CORPORATE OFFICES, 8820 W 116th Cir B, Broomfield, CO 80021, USA",Broomfield,CO,80021,(205) 656-0154,http://www.camptelaphiba.com/
Camp Ten Trees,"1122 E Pike St #1488, Seattle, WA 98122, USA",Seattle,WA,98122,(206) 288-9568,https://camptentrees.org/
Camp Vamonos! - Austin Summer Camp & After School Program,"6919 Reese Ln, Austin, TX 78757, USA",Austin,TX,78757,(512) 770-7789,https://campvamonos.com/
Camp West,"4539 California Ave SW, Seattle, WA 98116, USA",Seattle,WA,98116,(425) 224-6944,http://www.thecampwest.com/
Camp Wisdom,"6400 W Red Bird Ln, Dallas, TX 75236, USA",Dallas,TX,75236,(972) 298-3177,https://circleten.org/posts/30116/camp-wisdom
Camp Zeke,"809 W 181st St, New York, NY 10033, USA",New York,NY,10033,(212) 913-9783,http://www.campzeke.org/
"CAMP, A Family Experience Store","9830 N Central Expy, Dallas, TX 75231, USA",Dallas,TX,75231,(214) 612-0451,http://www.camp.com/
Campus Day Camp & Campus After School Program,"2901 Campus Rd, Brooklyn, NY 11210, USA",Brooklyn,NY,11210,(718) 421-7575,https://campusdaycamp.com/
campusNYC,"225 Liberty St, New York, NY 10281, USA",New York,NY,10281,(718) 237-8758,https://campusnyc.org/
Carrollwood Black Belt Academy,"4125 Gunn Hwy, Tampa, FL 33618, USA",Tampa,FL,33618,(813) 264-5425,http://www.martialartstampa.com/
Cedar Springs Camp,"4820 WA-92, Lake Stevens, WA 98258, USA",Lake Stevens,WA,98258,(425) 334-6215,https://cedarsprings.camp/
Celebree School of Dallas Arts District,"2400 Bryan St, Dallas, TX 75201, USA",Dallas,TX,75201,(972) 782-4225,https://www.celebree.com/dallas-arts-district-tx/
Champion Summer Camp,"@ West Hillsborough School, 376 Barbara Way, Hillsborough, CA 94010, USA",Hillsborough,CA,94010,(415) 602-0722,
CHASCO Family YMCA,"1801 N Interstate Hwy 35, Round Rock, TX 78664, USA",Round Rock,TX,78664,(512) 246-9622,http://ymcactx.org/locations/round-rock/
Circle F Dude Ranch Camp,"5301 Dude Ranch Rd, Lake Wales, FL 33898, USA",Lake Wales,FL,33898,(863) 676-4113,https://www.circlefduderanchcamp.com/
Citizen Kids Club,"1405 NE 120th St, Seattle, WA 98125, USA",Seattle,WA,98125,(206) 498-3485,https://www.scezone.com/
Coastal Camp,"1033 Fort Cronkhite, Sausalito, CA 94965, USA",Sausalito,CA,94965,(415) 331-1548,http://www.coastalcamp.org/
Coleman Country Day Camp,"55 Babylon Turnpike, Freeport, NY 11520, USA",Freeport,NY,11520,(516) 620-4300,https://colemancountry.com/
Colorado Academy Summer Programs,"3800 S Pierce St, Denver, CO 80235, USA",Denver,CO,80235,(303) 914-2531,https://www.coloradoacademysummer.org/
Columbia University - Little Lions Camp (formerly Cubs Camp),"MC 1923 3030, Broadway, New York, NY 10027, USA",New York,NY,10027,(212) 854-2233,http://perec.columbia.edu/littlelionscamp
Coppell Family YMCA,"146 Town Center Blvd, Coppell, TX 75019, USA",Coppell,TX,75019,(972) 393-5121,https://ymcadallas.org/locations/coppell-family-ymca?utm_source=google&utm_medium=organic&utm_campaign=gbp
Creator Camp Austin,"5815 Airport Blvd, Austin, TX 78752, USA",Austin,TX,78752,(713) 417-9025,https://www.creatorcamp.org/
Creator Camp Glad Tidings,"2700 Northland Dr, Austin, TX 78756, USA",Austin,TX,78756,(713) 417-9025,https://www.creatorcamp.org/
Creator Camp South Austin,"6800 West Gate Blvd Suite 120, Austin, TX 78745, USA",Austin,TX,78745,(713) 417-9025,http://creatorcamp.org/austin-south
Cross Timbers Family YMCA,"2021 Cross Timbers Rd, Flower Mound, TX 75028, USA",Flower Mound,TX,75028,(972) 539-9622,https://ymcadallas.org/locations/cross-timbers-family-ymca?utm_source=google&utm_medium=organic&utm_campaign=gbp
CU Denver LYNX Arts Camps,"1150 10th St Plaza, Denver, CO 80204, USA",Denver,CO,80204,,https://artsandmedia.ucdenver.edu/prospective-students/lynx-camps
Curious Jane Camp at International School of Brooklyn,"477 Court St, Brooklyn, NY 11231, USA",Brooklyn,NY,11231,(347) 770-0420,https://curiousjane.fun/camp/locations/isb/
D&D Summer Camp,"2438 W Anderson Ln. B1, Austin, TX 78757, USA",Austin,TX,78757,,https://www.facebook.com/61560669603116/
Dallas College Richland Campus,"12800 Abrams Rd, Dallas, TX 75243, USA",Dallas,TX,75243,(972) 238-6100,https://www.dallascollege.edu/about/rlc/pages/default.aspx
DC Adventures by Camp Doublecreek,"7815 Spicewood Springs Rd, Austin, TX 78759, USA",Austin,TX,78759,(512) 255-3661,https://www.campdoublecreek.com/
Dream Big Day Camp - Greenwood Village Campus,"5859 S University Blvd, Greenwood Village, CO 80121, USA",Greenwood Village,CO,80121,(303) 377-1805,http://www.dreambigdaycamp.com/
Dream Big Day Camp @ Denver Jewish Day School,"2450 S Wabash St, Denver, CO 80231, USA",Denver,CO,80231,(303) 377-1805,http://www.dreambigdaycamp.com/
Dream Big Day Camp @ Denver Jewish Day School,"2450 S Wabash St, Denver, CO 80231, USA",Denver,CO,80231,(303) 377-1805,https://www.dreambigdaycamp.com/contacts/
Dwight Summer Day Camp,"21 W 88th St, New York, NY 10024, USA",New York,NY,10024,(212) 724-6360 ext. 267,http://dwightsummercamp.org/
Easterseals Camp Stand By Me,"17809 S Vaughn Rd NW, Key Center, WA 98394, USA",Key Center,WA,98394,(253) 884-2722,https://www.easterseals.com/washington/our-programs/camping-recreation/
Eastridge Academy,"6310 Eastridge Dr, Dallas, TX 75231, USA",Dallas,TX,75231,(979) 406-7500,https://www.eastridgeacademytx.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb
Elio Academy of Biomedical Sciences,"1541 3rd St, San Francisco, CA 94158, USA",San Francisco,CA,94158,(415) 251-0758,https://elioacademy.org/
Elite University Summer Camps - Austin Steiner Ranch,"5000 Marshall Ford Rd, Austin, TX 78732, USA",Austin,TX,78732,(832) 350-6194,https://www.elitesummercamps.com/austincampsteiner/
"Engineering for Kids - Geary & Stanyan, San Francisco (STEM & Coding After-school and Camps)","3522 Geary Blvd # 1, San Francisco, CA 94118, USA",San Francisco,CA,94118,(415) 527-0497,http://www.engineeringforkids.com/san-francisco
ESF Summer Camps at Riverdale Country School,"5250 Fieldston Rd, Bronx, NY 10471, USA",Bronx,NY,10471,(718) 432-1013,http://www.esfcamps.com/riverdale/
Extreme Youth Sports - Tampa Bay,"4920 Newkirk Dr #5, Tampa, FL 33624, USA",Tampa,FL,33624,(813) 817-5425,https://extremeyouthsports.com/
Fantastic Magic Camp,"7500 Woodrow Ave, Austin, TX 78757, USA",Austin,TX,78757,(512) 988-3045,http://magiccamp.com/
FrogLegs Cooking School,"2643 NE Village Ln, Seattle, WA 98105, USA",Seattle,WA,98105,(206) 887-8228,http://www.froglegskca.com/
Future Set Tech Camp,"3315 El Salido Pkwy, Cedar Park, TX 78613, USA",Cedar Park,TX,78613,(361) 360-1345,https://www.futuresetcamp.com/
Gaia Guides Kids Camp,"1138 Ballena Blvd, Alameda, CA 94501, USA",Alameda,CA,94501,(415) 448-6640,http://www.gaia-guides.com/
Galileo Learning,"548 Market St PMB 38374, San Francisco, CA 94104, USA",San Francisco,CA,94104,(800) 854-3684,https://galileo-camps.com/?utm_medium=local-listing&utm_source=google&utm_campaign=gmb&utm_content=seattle%20madison%20valley
Gator Youth Sports Summer Camp,"1600 Holloway Ave.–Gym 101, San Francisco State University, Department of Kinesiology, San Francisco, CA 94132, USA",San Francisco,CA,94132,(415) 338-2244,
Got Game Sports Summer Camp,"845 W Dahlia St, Louisville, CO 80027, USA",Louisville,CO,80027,(720) 909-8077,https://gotgamecamp.com/louisville-co-summer-camps/
"Greater Austin YMCA-Childcare, Education, Camps","4000 S I-35 Frontage Rd 5th Floor, Austin, TX 78704, USA",Austin,TX,78704,(512) 236-9622,https://www.austinymca.org/childcare/
Handprints Academy,"702 S Hampton Rd, Dallas, TX 75208, USA",Dallas,TX,75208,(214) 941-4844,https://handprintschildcare.com/
Hans Jensen Group Camp,"4460 E Lake Sammamish Pkwy SE, Issaquah, WA 98029, USA",Issaquah,WA,98029,(425) 455-7010,http://parks.state.wa.us/533/Lake-Sammamish
High Trek Summer Camps - Seattle's Outdoor Adventure Day Camp,"Camp Office, 11928 Beverly Park Rd, Everett, WA 98204, USA",Everett,WA,98204,(425) 382-2966,http://www.hightrekcamps.com/
Hillel Academy of Tampa,"2020 W Fletcher Ave, Tampa, FL 33612, USA",Tampa,FL,33612,(813) 963-2242,https://www.hillelacademytampa.com/
Hoops Academy NYC,"225 Adelphi St #1, Brooklyn, NY 11205, USA",Brooklyn,NY,11205,(786) 644-2349,https://newyorkhoopsacademy.com/
iCAMP Tribeca - STEAM Summer Camp,"90 Hudson St, New York, NY 10013, USA",New York,NY,10013,(631) 466-5298,https://icamp.com/nyc-summer-camp/?utm_source=gbpnyc&utm_medium=google&utm_campaign=tribecasummer
iCode School - Austin Campus,"4301 W William Cannon Dr Building K Suite 200, Austin, TX 78749, USA",Austin,TX,78749,(512) 308-3721,https://icodeschool.com/austin113/
iCode School - North Dallas Campus,"14902 Preston Rd #411, Dallas, TX 75254, USA",Dallas,TX,75254,(214) 306-4341,https://icodeschool.com/dallas103/
IDEA Lab Kids - Central Austin,"8620 Burnet Rd Suite 500, Austin, TX 78757, USA",Austin,TX,78757,(512) 494-6744,https://idealabkids.com/location/austin/
Illumination Learning Studio,"7720 Greenwood Ave N #101, Seattle, WA 98103, USA",Seattle,WA,98103,(206) 466-1931,https://www.illuminationlearningstudio.com/
JCC Maccabi Sports Camp,"601 14th Ave, San Francisco, CA 94118, USA",San Francisco,CA,94118,(415) 997-8844,http://www.maccabisportscamp.org/about-camp/location-facilities/
JCC Ranch Camp,"350 S Dahlia St, Denver, CO 80246, USA",Denver,CO,80246,(303) 316-6384,http://www.ranchcamp.org/
JCH Summer Day Camps in Brooklyn,"7802 Bay Pkwy, Brooklyn, NY 11214, USA",Brooklyn,NY,11214,(718) 331-6800,http://www.jchb.org/summer-camps/
John Austin Cheley Foundation (DBA: A Thousand Summers),"1420 Ogden St #102, Denver, CO 80218, USA",Denver,CO,80218,(720) 981-2532,http://athousandsummers.org/
John Knox Ranch - Summer Camp and Retreat Center,"1661 John Knox Rd, Fischer, TX 78623, USA",Fischer,TX,78623,(830) 935-4568,http://www.johnknoxranch.org/
Kamps 4 Kids,"8606 Hunters Village Rd unit 309, Tampa, FL 33647, USA",Tampa,FL,33647,(813) 489-9024,https://kamps4kids.com/
Kiddie Academy of Far North Dallas,"6220 McCallum Blvd, Dallas, TX 75248, USA",Dallas,TX,75248,(940) 331-6700,https://kiddieacademy.com/academies/far-north-dallas/
Kids Camp,"1200 W Platt St, Tampa, FL 33606, USA",Tampa,FL,33606,(813) 720-7470,https://www.tampakidscamp.org/contact1.html
Kids Club After School Program,"1242 18th Ave E, Seattle, WA 98112, USA",Seattle,WA,98112,(206) 523-6351,http://www.kidsclubafterschool.org/
Kids Garden Club,"11661 Preston Rd Suite 150, Dallas, TX 75230, USA",Dallas,TX,75230,(214) 434-1126,http://www.kgcdallas.com/
Kids in the Game,"45 E 20th St 4th Floor, New York, NY 10003, USA",New York,NY,10003,(212) 634-7262,https://www.kidsinthegame.com/
Kids in the Game Summer Camp - East Village,"44 E 2nd St, New York, NY 10003, USA",New York,NY,10003,(212) 634-7262,https://www.kidsinthegame.com/summer-camps/east-village/
Kids in the Game Summer Camp - Greenpoint,"100 Dobbin St, Brooklyn, NY 11222, USA",Brooklyn,NY,11222,(212) 634-7262,https://www.kidsinthegame.com/summer-camps/greenpoint/
Kids in the Game Summer Camp - Park Slope,"588 6th St, Brooklyn, NY 11215, USA",Brooklyn,NY,11215,(212) 634-7262,https://www.kidsinthegame.com/summer-camps/park-slope/
Kids in the Game Summer Camp - Riverdale,"3120 Corlear Ave, Bronx, NY 10463, USA",Bronx,NY,10463,(212) 634-7262,https://www.kidsinthegame.com/summer-camps/riverdale/
Kids in the Game Summer Camp - Upper East Side (Carnegie Hill),"4 E 90th St, New York, NY 10128, USA",New York,NY,10128,(212) 634-7262,https://www.kidsinthegame.com/summer-camps/upper-east-side-carnegie-hill/
Kids Magic Lab,"7325 166th Ave NE f235, Redmond, WA 98052, USA",Redmond,WA,98052,(425) 417-0316,https://www.kidsmagiclab.com/
Kids of Summer Sports NYC,"320 W 87th St, New York, NY 10024, USA",New York,NY,10024,(917) 572-2423,http://www.kidsofsummernyc.com/
Kids Science Labs,"405 NE 71st St, Seattle, WA 98115, USA",Seattle,WA,98115,(773) 798-2012,http://www.kidssciencelabs.com/
"Kids SmART, Inc.-Summer Camp","80 S Teller St, Lakewood, CO 80226, USA",Lakewood,CO,80226,(303) 972-4321,http://www.kids-smart.com/
Kids' Nature Summer Camps at Little Red Wagon Native Nursery,"4111-A Henderson Blvd, Tampa, FL 33629, USA",Tampa,FL,33629,(813) 755-9579,https://butterflytampa.com/camps/
kidsActing Studio - Rehearsal Studio,"1400 Tillery St, Austin, TX 78721, USA",Austin,TX,78721,(512) 836-5437,http://www.kidsactingstudio.com/
Kidventure Camp All Saints,"7777 Osage Plz Ct, Dallas, TX 75252, USA",Dallas,TX,75252,(214) 303-9789,https://kidventure.com/locations/camp-all-saints-dallas/
Kidventure Camp Kessler,"1822 W 10th St, Dallas, TX 75208, USA",Dallas,TX,75208,(214) 303-9789,https://kidventure.com/locations/camp-kessler-dallas/
Kidventure Camp Preston Hollow,"7611 Park Ln, Dallas, TX 75225, USA",Dallas,TX,75225,(214) 303-9789,https://kidventure.com/locations/camp-preston-hollow-dallas/
Kidventure Camp Rough Hollow,"901 Highlands Blvd, Lakeway, TX 78738, USA",Lakeway,TX,78738,(512) 263-8992,https://kidventure.com/locations/camp-rough-life-austin/
Kidventure Camp St. Patrick,"9635 Ferndale Rd, Dallas, TX 75238, USA",Dallas,TX,75238,(214) 303-9789,https://kidventure.com/locations/camp-st-patrick-dallas/
Kidventure Camp Steiner,"12550 Country Trails Ln, Austin, TX 78732, USA",Austin,TX,78732,(512) 263-8992,https://kidventure.com/locations/camp-steiner-austin/
Kidventure Camps Austin - Summer Camp,"11701 FM2244 Suite 240C, Austin, TX 78738, USA",Austin,TX,78738,(512) 263-8992,https://kidventure.com/austin-summer-camp/
Kidventure Camps Dallas,"3330 Keller Springs Rd #230, Carrollton, TX 75006, USA",Carrollton,TX,75006,(214) 303-9789,https://kidventure.com/dallas-summer-camps/
"KidzToPros Summer Camp - Accelerated Schools, Denver","2160 S Cook St, Denver, CO 80210, USA",Denver,CO,80210,(877) 202-1554,https://www.kidztopros.com/locations/US-CO/Denver/Accelerated-Schools-summer-camps?grades=1-2
