ENRICHMENT SUMMARY
Total contacts: 270
With direct emails: 0 (0.0%)
With any email: 140 (51.9%)
With phone numbers: 0 (0.0%)
With verified addresses: 0 (0.0%)
With verified phones: 0 (0.0%)

email,city,state,business_status,website_status,fit_score,outreach_readiness
lje38@drexel.edu,"Manhattan, Brooklyn, Queens",New York,open,404,,
,Austin,Texas,open,404,,
yanz@aafa.info,Wellesley,Massachusetts,open,404,,
,Miami,Florida,open,404,,
,Albany,New York,closed_permanently,404,,
aimeerodenroth@dyscoveread.com,Webster,Florida,open,404,,
jobs@startutoringcenters.com?subject=Why I Shine,Chicago,Illinois,open,404,,
,Austin,Texas,open,404,,
jobs@maker-state.com,Cleveland,Ohio,open,404,,
,Cleveland,Ohio,open,404,,
news@dallasinternationalschool.org,Naperville,Illinois,open,404,,
gaffonso-wagner@champlain.edu,Chattanooga,Tennessee,open,404,,
,Alexandria,Virginia,open,404,,
frisco@txgrowingiq.com,Gainesville,Florida,closed_permanently,404,,
,Philadelphia,Pennsylvania,open,404,,
info@codevirginia.org,Denver,Colorado,open,404,,
,Bellevue,Washington,open,404,,
GBCGLIMA@gettysburg.edu,Ponte Vedra,Florida,open,404,,
,Frisco,Texas,open,404,,
titleix@YCDS.edu,Prosper,Texas,open,404,,
,Dallas,Texas,open,404,,
fr*******@br******************.com,New York,New York,open,404,,
Admin@steamboatbooktrails.org,Dallas,Texas,open,404,,
,Burlington,Vermont,open,404,,
allycia.brown@charchrist.com,Saddle Brook,New Jersey,open,404,,
,Frisco,Texas,open,404,,
,Bellevue,Washington,open,404,,
,Richmond,Virginia,open,404,,
brandy@allstarkiddos.com,Frisco,Texas,open,404,,
trentlearning@att.net,Gettysburg,Pennsylvania,closed_permanently,404,,
,Colorado Springs,Colorado,open,404,,
rod@theschoolinrosevalley.org,York,Pennsylvania,open,404,,
,Houston,Texas,open,404,,
,Frisco,Texas,open,404,,
supportrva@clubscikidz.com,Brooklyn,New York,,404,,
,Steamboat Springs,Colorado,open,404,,
,Plano,Texas,open,404,,
info@rarelearning.com,Charlotte,North Carolina,open,404,,
,Frisco,Texas,open,404,,
hello@sshouse.com,New York,New York,open,404,,
,Cranford,New Jersey,,404,,
,Preston,Washington,open,,,
adimaria@mpfs.org,Frisco,Texas,open,404,,
rootedacademyutah@gmail.com,Richardson,Texas,open,404,,
support@kidstrong.com,Rose Valley,Pennsylvania,open,404,,
,Cypress,Texas,open,404,,
,Dallas,Texas,open,,,
busji@bu.edu,Richmond,Virginia,open,404,,
director@bchcenter.org,Miami,Florida,open,404,,
rwilde@kidsandcribschildcare.com,Frisco,Texas,open,404,,
info@kids4coding.com,Allen,Texas,open,404,,
support@codeverse.com,Frisco,Texas,open,404,,
?subject=Staff Development %26#8211; Classes End at 12:30pm&body=https%3A%2F%2Fwww.fusionacademy.com%2Fevents%2Fstaff-development%2F,Frisco,Texas,open,404,,
grainger-marcom@illinois.edu,Berea,Kentucky,open,404,,
info@bgcqueens.org,Aurora,Colorado,open,404,,
,Media,Pennsylvania,open,404,,
mrrich@supersciencetn.com,South Jordan,Utah,open,404,,
aalbanese@st-peters-school.org,Mckinney,Texas,open,404,,
contact@thegraysonschool.org,Frisco,Texas,open,404,,
,Louisville,Kentucky,open,404,,
,Boston,Massachusetts,open,404,,
,Greenfield,New Hampshire,open,404,,
,Fort Thomas,Kentucky,open,404,,
kera.ackerman@uky.edu,Cambridge,Massachusetts,open,404,,
info@learning-grove.org,White Plains,New York,open,404,,
,Ardmore,Pennsylvania,open,404,,
,Urbana,Illinois,open,404,,
jhelgeson@jaky.org,Long Island City,New York,open,404,,
cancel@launchmath.com,Denver,Colorado,open,404,,
,La Vergne,Tennessee,open,404,,
admission@germantownacademy.org,Philadelphia,Pennsylvania,open,404,,
sjm130@pitt.edu,Radnor,Pennsylvania,,404,,
elr312@lehigh.edu,Santa Clarita,California,open,404,,
madams@bucknell.edu,Frisco,Texas,open,404,,
,Frisco,Texas,open,404,,
info@coderkids.com,Frisco,Texas,,404,,
auburndale@jeilearning.com,Lexington,Kentucky,open,404,,
southlaketutoringacademy@gmail.com,Covington,Kentucky,open,404,,
robbiwen@berkeleyprep.org,Hebron,Kentucky,open,404,,
misssugarmansschool@forextraordinarychildren.org?subject=I want to learn more!,Fort Thomas,Kentucky,open,404,,
lexington@allaboutkidslc.com,Louisville,Kentucky,open,404,,
,New York,New York,closed_permanently,404,,
,Far Hills,New Jersey,open,404,,
,Fort Washington,Pennsylvania,open,404,,
chris@buildwithtact.org,Pittsburgh,Pennsylvania,open,404,,
,Bethlehem,Pennsylvania,open,404,,
alternativecertification@dallasisd.org,Lewisburg,Pennsylvania,open,404,,
info@isteamafterschool.com,West Palm Beach,Florida,open,404,,
srard@njit.edu,Houston,Texas,open,404,,
,Bayside,New York,open,404,,
education@wmmi.org,Southlake,Texas,open,404,,
,Tampa,Florida,,404,,
,Gardiner,Maine,open,404,,
"?subject=Shared Link&body=https://www.instagram.com/p/DDpzVcCJln8/ - Today we “Closed the Gap” and opened our hearts & minds. Our 3rd graders started the session by learning about B’tzelem Elohim (We are all created in the image of G-d) and the Jewish value of “Kavod” (respect). Students then created art, played dreidel, ate lunch together, played on the playground, and most importantly fostered friendships with the impressive artists from @SandalGapStudio with intellectual disabilities. Segal students learned, questioned and shared. We look forward to a continued relationship with Sandal Gap and can’t wait to make more memories with our new friends. Today was a perfect day of connection and joy!",Lexington,Kentucky,open,404,,
,Maple Grove,Minnesota,,404,,
accessibility@rutgers.edu,Philadelphia,Pennsylvania,open,404,,
info@kidsfoundationacademy.com,Wilmington,Delaware,open,404,,
info@pyeprep.com,Denver,Colorado,open,404,,
,Orlando,Florida,open,404,,
,Dallas,Texas,open,404,,
,Chicago,Illinois,open,404,,
,Newark,New Jersey,open,404,,
,Prosper,Texas,open,404,,
info@maclay.org,Colorado springs,Colorado,open,404,,
support@thecodegalaxy.com?subject=Support,Damon,Texas,open,404,,
,Altadena,California,open,404,,
nhan@seresc.net,Houston,Texas,open,404,,
,Parker,California,open,404,,
,Branchville,New Jersey,open,404,,
,Edmonds,Washington,open,404,,
support@kidstrong.com,Flushing,New York,open,404,,
,Frisco,Texas,open,404,,
info@cedarbrookdaycamp.com,Jacksonville,Florida,open,404,,
registrar@paacolorado.org,Tampa,Florida,open,404,,
,Orlando,Florida,closed_permanently,404,,
,Wilmington,North Carolina,open,404,,
news@riverdaley.org,Tallahassee,Florida,open,404,,
,Tallahassee,Florida,open,404,,
,Austin,Texas,open,404,,
,Oakland Park,Florida,open,404,,
,Bedford,New Hampshire,open,404,,
go@uccs.edu,New York,New York,open,404,,
hczdevelopment@hcz.org,San Francisco,California,open,404,,
kimberlyteira@ikumon.com,Los Angeles,California,open,404,,
parentrelations@imacs.org,Fairfield,Connecticut,open,404,,
,Augusta,Georgia,closed_permanently,404,,
info@catalinaislandcamps.com,Somerset,New Jersey,open,404,,
webdev@saintmarks.com,Highlands Ranch,Colorado,open,404,,
,Boerne,Texas,open,404,,
,Wylie,Texas,open,404,,
leah@coloradokids.org,Bronx,New York,open,404,,
gradcollege@unlv.edu,Edmond,Oklahoma,,404,,
,East Hanover,New Jersey,open,404,,
,East Point,Georgia,open,404,,
pr@siumed.edu,Colorado Springs,Colorado,open,404,,
corey@berkeleycodingacademy.com,New York,New York,,404,,
sonterra@leafspringsa.com,Jacksonville,Florida,open,404,,
info@maclay.org,Plantation,Florida,open,404,,
Franchise@idealabkids.com,Miami,Florida,open,404,,
,Altadena,California,open,404,,
,Fort Lauderdale,Florida,open,404,,
,Fort Lauderdale,Florida,,404,,
info@chateaugay.com,Brooklyn,New York,open,404,,
info@cecbr.com,Denver,Colorado,open,404,,
,Reno,Nevada,open,404,,
,Los Angeles,California,open,404,,
info@camprobinhood.com,Big Rapids,Michigan,open,404,,
,Springfield,Illinois,open,404,,
info@dev.campwatitoh.com,Berkeley,California,open,404,,
info@silverlakecamp.com,San Antonio,Texas,open,404,,
,Houston,Texas,open,,,
,Wallops Island,Virginia,open,,,
,Raytown,Missouri,open,,,
,Oklahoma City,Oklahoma,open,,,
